Species Name,Scientific Name,Life Span,Exotic or Not,Habitat/Location,Extra Info
AN 88,Diaethria anna,2 to 3 weeks,No,Central and South America,Wings have bold '88' pattern on underside
APPOLLO,Parnassius apollo,2 to 3 weeks,No,Europe and Central Asia,White wings with red and black eye spots
ARCIGERA FLOWER MOTH,Schinia arcigera,1  to 2 weeks,No,North America,Pink and yellow patterns mimicking flowers
ATALA,Eumaeus atala,2  to 3 weeks,No,Southeastern USA and Caribbean,Black wings with blue spots and red abdomen
ATLAS MOTH,Attacus atlas,1 to 2weeks,No,Southeast Asia,One of the largest moths with snake-head wing tips
BANDED ORANGE HELICONIAN,Dryadula phaetusa,2 to 3 weeks,No,Central and South America,Bright orange wings with black bands
BANDED PEACOCK,Anartia fatima,2 to 4 weeks,No,Central America and Mexico,Brown wings with white and orange bands
BANDED TIGER MOTH,Apantesis vittata,1 to 2 weeks,No,North America,Black and orange striped wings
BECKERS WHITE,Pontia beckeri,1 to 2 weeks,No,North America,White wings with dark markings near tips
BIRD CHERRY ERMINE MOTH,Yponomeuta evonymella,1 to 2 weeks,No,Europe and Asia,White wings with rows of black dots
BLACK HAIRSTREAK,Satyrium pruni,1 to 2 weeks,No,Europe,Dark brown wings with orange spots and tails
BLUE MORPHO,Morpho menelaus,2-3 weeks,No,Central and South America,Iridescent blue wings with brown underside
BLUE SPOTTED CROW,Euploea midamus,2-3 weeks,No,South and Southeast Asia,Dark wings with blue-white spots
BROOKES BIRDWING,Ornithoptera priamus poseidon,2-3 weeks,Yes,Australia and New Guinea,Large butterfly with green and black wings
BROWN ARGUS,Aricia agestis,1-2 weeks,No,Europe and Asia,Brown wings with orange spots
BROWN SIPROETA,Siproeta epaphus,2-3 weeks,No,Central and South America,Brown wings with white and orange bands
CABBAGE WHITE,Pieris rapae,2-3 weeks,No,Worldwide,White wings with black spots
CAIRNS BIRDWING,Ornithoptera euphorion,2-3 weeks,Yes,Northeastern Australia,"Large green, black, and yellow butterfly"
CHALK HILL BLUE,Polyommatus coridon,2-3 weeks,No,Europe,Silvery-blue males and brown females
CHECQUERED SKIPPER,Carterocephalus palaemon,1-2 weeks,No,Europe and Asia,Golden-brown wings with pale square spots
CHESTNUT,Conistra vaccinii,1 year (larva/pupa),No,Europe and Asia,Reddish-brown wings with dark markings
CINNABAR MOTH,Tyria jacobaeae,2-3 weeks,No,"Europe, Asia, North America",Black and red wings; larvae are yellow-black striped
CLEARWING MOTH,Synanthedon tipuliformis,1-2 weeks,No,"Europe, Asia, North America",Transparent wings mimicking wasps
CLEOPATRA,Gonepteryx cleopatra,10-12 months,No,Southern Europe and North Africa,Yellow wings with orange patch in males
CLODIUS PARNASSIAN,Parnassius clodius,2-3 weeks,No,Western North America,White wings with red/black spots
CLOUDED SULPHUR,Colias philodice,2-4 weeks,No,North America,Yellow wings with dark borders
ADONIS,Polyommatus bellargus,2â3 weeks,Native to Europe,Chalk grasslands,Bright blue wings with black and white edges
AFRICAN GIANT SWALLOWTAIL,Papilio antimachus,2â3 weeks,Exotic to Tropical Africa,Rainforests,Very large wings and elongated shape
AMERICAN SNOOT,Libytheana carinenta,2â3 weeks,Native to the Americas,Woodlands and fields,Distinct snout-like palps and orange-brown wings
COMET MOTH,Argema mittrei,1â2 weeks,Native to Madagascar,Rainforests,Long tail streamers and yellow patterned wings
COMMON BANDED AWL,Hasora chromus,2â3 weeks,Native to Asia,Forest edges,Dark brown wings with a white band
COMMON WOOD-NYMPH,Cercyonis pegala,2â3 weeks,Native to North America,Meadows and open woodlands,Brown wings with eye spots for predator distraction
COPPER TAIL,Setora postornata,2â3 weeks,Mostly exotic,Tropical Southeast Asia,Bright copper-colored tail and striking wing patterns
CRESCENT,Phyciodes tharos,2â3 weeks,Native to North America,Meadows and open fields,Orange-and-black patterned wings with scalloped edges
CRIMSON PATCH,Chlosyne janais,23 weeks,Mostly exotic,"Tropical and subtropical regions, open woodlands, gardens, and forest edges",Active during the day; often seen basking and feeding on flower nectar
DANAID EGGFLY,Hypolimnas misippus,2 to 3 weeks,Not exotic ,"Found in Asia, Africa, and Australia; common in India in gardens, open fields, and grasslands",Female mimics Plain Tiger (Batesian mimicry); male is black with white patches; caterpillars feed on Acanthaceae and Portulacaceae plants
EASTERN COMA,Polygonia comma,6 to 14,Not exotic (native to North America),"Found in North America — especially in wooded areas, forest edges, and along streams; also seen in gardens during summer",Named for the small comma-shaped silver mark on the underside of its hind wings; has ragged wing edges that help it blend with dead leaves; adults hibernate during winter in tree bark or leaf litter
EASTERN DAPPLE WHITE,Euchloe ausonides,1 to 2 weeks,Not exotic (native to North America),"Found in western and central North America — prefers open grassy fields, prairies, and foothills; often near host plants of the mustard family",Has distinctive white wings with greenish marbling on the underside; adults are active in spring; larvae feed on wild mustard plants (Brassicaceae family); plays a key role in pollination of spring flowers.
EASTERN PINE ELFIN,Callophrys niphon,1 week,Not exotic (native to North America),"Found in eastern North America — prefers pine forests, dry sandy areas, and open woodlands where pine trees grow; especially common near pitch pine and jack pine stands",Small brownish butterfly with a faint reddish line across the hindwings; adults appear only once a year in spring; caterpillars feed mainly on pine needles; well-camouflaged to blend with bark and pine cones.
ELBOWED PIERROT,Caleta elna,2–3 weeks,"Not exotic (found in Asia, fairly common in its range)","Found in South and Southeast Asia, including India, Sri Lanka, Myanmar, and Thailand; prefers forest edges, scrublands, and gardens","Small black-and-white butterfly with distinctive elbowed patterns on the wings; larvae feed on host plants like Zizyphus species; known for rapid, jerky flight patterns."
EMPEROR GUM MOTH,Opodiphthera eucalypti,7–10 days,Exotic (native to Australia),"Found in eastern and southern Australia; commonly in eucalyptus forests, woodlands, and suburban gardens",One of the largest moths in Australia with wingspans up to 12 cm; larvae feed on eucalyptus leaves; adults do not feed and rely on stored energy; striking eye spots on wings help deter predators.
GARDEN TIGER MOTH,Arctia caja,1–2 weeks,Exotic (native to Europe and North America),"Found in Europe, North America, and parts of Asia; prefers gardens, meadows, grasslands, and open woodlands",Known for bright orange hindwings with black spots and brown forewings with white patterns; caterpillars are called woolly bears; adults are nocturnal and use aposematic coloration to warn predators of toxicity.
GIANT LEOPARD MOTH,Hypercompe scribonia,1–2 weeks,Not exotic (native to North America),"Found in eastern and southern North America; prefers woodlands, gardens, fields, and areas with abundant vegetation",Large white moth with black leopard-like spots; caterpillars are called woolly bears and are black with orange bands; adults are nocturnal and do not feed; striking wing patterns serve as a predator deterrent.
GLITTERING SAPPHIRE,Iolaus eurisus,2–4 weeks,Exotic,Tropical forests of Sub-Saharan Africa,Males have brilliant blue iridescent wings with darker edges; females are paler. Found in forest edges and feed on mistletoe plants. Belongs to the Lycaenidae (blue butterflies) family.
GOLD BANDED,Heliconius hecale (commonly called the Gold-Banded Heliconian),3–5 weeks,Exotic,Found in Central and South America — tropical forests and gardens,"Recognized by its black wings with striking golden or yellow bands; known for slow, graceful flight. Feeds on passionflower plants and plays an important role in pollination."
GREAT EGGFLY,Hypolimnas bolina,2–3 weeks,Not Exotic (common in Asia-Pacific regions),"Found across South and Southeast Asia, Australia, and the Pacific islands; prefers gardens, forests, and open sunny areas","Males are black with striking white and purple-blue spots, while females are brown with orange markings. Known for its strong territorial behavior — males often chase away rivals."
GREAT JAY,Graphium evemon,3–4 weeks,Not Exotic (native to Asia),"Found in South and Southeast Asia — India, Malaysia, Indonesia; inhabits tropical rainforests",A member of the swallowtail family (Papilionidae). Has striking bluish-green bands on black wings. Fast and strong flier often seen near forest streams.
GREEN CELLED CATTLEHEART,Parides childrenae,2–4 weeks,Exotic,Found in Central and South America — mainly Mexico to Ecuador; inhabits tropical rainforests,A large black butterfly with brilliant green patches on the forewings and red spots on the hindwings. Males have brighter colors. It belongs to the swallowtail family (Papilionidae) and is known for its graceful flight near forest edges.
GREEN HAIRSTREAK,Callophrys rubi,3–4 weeks,Not Exotic (common in Europe and Asia),"Found across Europe, North Africa, and temperate Asia — prefers scrublands, grasslands, and forest clearings",Small butterfly with bright green underwings and brown upperwings (usually kept closed). Known for its excellent camouflage in green vegetation. Belongs to the Lycaenidae family.
GREY HAIRSTREAK,Strymon melinus,2–4 weeks,Not Exotic (very common),"Found throughout North and Central America — in open fields, gardens, meadows, and forest edges","Small gray butterfly with orange spots near the tail and thin white and black lines across wings. Its caterpillars feed on many plants, making it highly adaptable. Known for its “false head” tail tips that confuse predators."
HERCULES MOTH,Coscinocera hercules,2–8 days,Exotic,Found in northern Australia and New Guinea — tropical rainforests,"One of the largest moths on Earth, with a wingspan up to 27 cm (10.6 inches). Males have long tails on their hindwings. Adults do not eat; they live only to mate and lay eggs. The caterpillars feed on rainforest trees."
HUMMING BIRD HAWK MOTH,Macroglossum stellatarum,2–4 weeks,"Not Exotic (common in Europe, Asia, North Africa)","Found in Europe, Asia, and North Africa — open fields, gardens, and meadows","Resembles a hummingbird in flight; hovers while feeding on nectar with a long proboscis. Active during the day unlike most moths. Migratory species, known for rapid and agile flying."
INDRA SWALLOW,Papilio indra,3–4 weeks,Not Exotic (native to North America),"Found in western North America — mountainous regions, meadows, and open forest",Belongs to the swallowtail family (Papilionidae). Males have striking black wings with pale yellow markings; females are slightly larger. Known for strong flight and visiting a variety of nectar plants.
IO MOTH,Automeris io,1–2 weeks,Not Exotic (common in North America),"Found throughout the United States, southeastern Canada, and parts of Central America — forests, fields, and gardens","Bright yellow wings with large eye spots on hindwings to scare predators. Males have brownish forewings, females slightly larger. Caterpillars are known to have stinging spines. Belongs to the Saturniidae family."
Iphiclus sister,Adelpha iphiclus,2–3 weeks,Not exotic (native to Central and South America),"Central and South American forests, 0–1,200 m altitude.",White-marked wings; adults feed on overripe fruits and nectar; larvae feed on trees like Calycophyllum and Uncaria.
JULIA,Dryas iulia,2–3 weeks,Exotic,"Tropical and subtropical forests, gardens, and open areas in Central and South America",Bright orange wings with black markings; fast flier; adults feed on nectar and rotting fruit; popular in butterfly gardens.
LARGE MARBLE,Euchloe ausonia,2–3 weeks,Not Exotic (found in Europe and parts of Asia),"Open meadows, grasslands, and rocky hills",White wings with greenish or marbled patterns on the underside; feeds on nectar; belongs to the Pieridae family.
LUNA MOTH,Actias luna,7–10 days,Not Exotic (common in North America),Deciduous forests across eastern North America,"Pale green wings with long tails on hindwings; adults do not eat; caterpillars feed on hickory, walnut, and sweetgum trees; belongs to the Saturniidae family."
MADAGASCAN SUNSET MOTH,Chrysiridia rhipheus,Around 1 month,Exotic,Rainforests of Madagascar,Iridescent multicolored wings; day-flying moth; often mistaken for a butterfly; feeds on nectar as an adult; caterpillars feed on Omphalea plants.
MALACHITE,Siproeta stelenes,2–4 weeks,Exotic,"Tropical forests, gardens, and open areas in Central and South America",Bright green and black patterned wings; adults feed on nectar and rotting fruit; fast and strong flier; belongs to the Nymphalidae family.
MANGROVE SKIPPER,Phocides pigmalion,2–3 weeks,Not Exotic (common in the Americas),"Mangroves, coastal areas, and open woodlands in the southeastern United States, Central and South America","Small brown wings with white spots; rapid, darting flight; adults feed on nectar; larvae feed on mangrove plants; belongs to the Hesperiidae family."
MESTRA,Mestra amymone,2–3 weeks,Not Exotic (native to the Americas),"Tropical and subtropical forests, woodland edges, and gardens in Central and South America",Brownish-orange wings with white and black markings; adults feed on nectar; known for their gliding flight; belongs to the Nymphalidae family.
METALMARK,Calydna species,2–3 weeks,Exotic,Tropical and subtropical forests in Central and South America,Small butterflies with metallic-looking spots or streaks on their wings; adults feed on nectar; caterpillars feed on various host plants; belongs to the Riodinidae family.
MILBERTS TORTOISESHELL,Aglais milberti,2–3 weeks,Not Exotic (native to North America),"Open fields, meadows, gardens, and forest edges across North America.",Orange wings with black and blue spots; adults feed on nectar and rotting fruit; hibernates as adults during winter; belongs to the Nymphalidae family.
MONARCH,Danaus plexippus,2–6 weeks or up to 8–9 months,Not Exotic (native to North America),"Open fields, meadows, gardens, and forests across North America; migrates to Mexico in winter",Bright orange wings with black veins; famous for long-distance migration; larvae feed on milkweed; belongs to the Nymphalidae family.
MOURNING CLOAK,Nymphalis antiopa,10–11 months,"Not Exotic (native to North America, Europe, and Asia)","Forests, woodlands, parks, and gardens across temperate regions of North America and Eurasia",Dark brown wings with pale yellow edges and blue spots; hibernates as an adult during winter; adults feed on tree sap and rotting fruit; belongs to the Nymphalidae family.
OLEANDER HAWK MOTH,Daphnis nerii,3–4 weeks,Exotic,"Found in Africa, Asia, and parts of Europe — gardens, open woodlands, and areas with oleander plants",Large green and pink wings; adults feed on nectar; caterpillars feed on oleander and other Apocynaceae plants; belongs to the Sphingidae family.
ORANGE OAKLEAF,Kallima inachus,3–4 weeks,Exotic,"Tropical and subtropical forests in India, Southeast Asia, and Myanmar",Upper wings bright orange with black and blue markings; underwings mimic dead leaves for camouflage; adults feed on rotting fruits and tree sap; belongs to the Nymphalidae family.
ORANGE TIP,Anthocharis cardamines,2–3 weeks,Not Exotic (common in Europe and Asia),"Meadows, grasslands, woodland edges, and gardens across Europe and temperate Asia",Males have bright orange tips on forewings; females are mostly white with black spots; adults feed on nectar; larvae feed on cruciferous plants; belongs to the Pieridae family.
ORCHARD SWALLOW,Papilio aegeus,3–4 weeks,Not Exotic (native to Australia and nearby islands),"Forest edges, woodlands, orchards, and gardens in Australia",Black wings with white and yellow markings; strong and fast flier; caterpillars feed on citrus and other Rutaceae plants; belongs to the Papilionidae family.
PAINTED LADY,Vanessa cardui,2–4 weeks,Not Exotic (found worldwide),"Open fields, meadows, gardens, and roadsides across most of the world",Orange-brown wings with black and white markings; migratory species; adults feed on nectar; caterpillars feed on thistles and mallows; belongs to the Nymphalidae family.
PAPER KITE,Idea leuconoe,2–3 weeks,Exotic,"Southeast Asian forests, mangroves, and gardens — mainly in the Philippines, Malaysia, and Taiwan","Large white wings with black veins; slow, graceful flight; adults feed on nectar and often seen gliding in butterfly conservatories; belongs to the Nymphalidae family."
PEACOCK,Aglais io,10–11 months,Not Exotic (native to Europe and temperate Asia),"Gardens, parks, meadows, and woodland edges across Europe and temperate Asia",Reddish-brown wings with large eye spots on hindwings; adults feed on nectar and tree sap; hibernates in winter; belongs to the Nymphalidae family.
PINE WHITE,Neophasia menapia,2–3 weeks,Not Exotic (native to North America),Coniferous forests and pine woodlands in western North America,White wings with subtle black markings; adults feed on nectar; larvae feed on pine needles; belongs to the Pieridae family.
PIPEVINE SWALLOW,Battus philenor,2–3 weeks,Not Exotic (native to North America),"Woodlands, fields, gardens, and wetlands across North America",Iridescent blue hindwings with black forewings; larvae feed on pipevine plants making them toxic to predators; strong and fast flier; belongs to the Papilionidae family.
POLYPHEMUS MOTH,Antheraea polyphemus,1 week,Not Exotic (native to North America),"Deciduous forests, woodlands, and suburban areas across North America","Large brown wings with prominent eyespots on hindwings; adults do not eat; caterpillars feed on a variety of trees including oak, maple, and birch; belongs to the Saturniidae family"
POPINJAY,Stibochiona nicea,2–3 weeks,Exotic,"Tropical and subtropical forests in South and Southeast Asia — India, Nepal, Bhutan, and Myanmar",Black wings with bright blue and white markings; adults feed on nectar and rotting fruit; known for strong flight; belongs to the Nymphalidae family.
PURPLE HAIRSTREAK,Favonius quercus,2–3 weeks,Not Exotic (common in Europe),Oak woodlands and forests across Europe,"Upper wings purple in males, brown in females; underwings brown with orange crescents; adults feed on honeydew and nectar; larvae feed on oak leaves; belongs to the Lycaenidae family."
PURPLISH COPPER,Lycaena helloides,2–3 weeks,Not Exotic (native to North America),"Meadows, grasslands, and open woodlands in North America",Bright copper-orange wings with purplish sheen; adults feed on nectar; larvae feed on sorrel and dock plants; belongs to the Lycaenidae family.
QUESTION MARK,Polygonia interrogationis,2–3 weeks,Not Exotic (native to North America),"Woodlands, forests, gardens, and fields across North America","Orange-brown wings with dark spots and a silver “?” mark on the underside of hindwings; adults feed on nectar, tree sap, and rotting fruit; hibernates as an adult; belongs to the Nymphalidae family."
RED ADMIRAL,Vanessa atalanta,2–4 weeks,"Not Exotic (native to North America, Europe, Asia, and North Africa)","Gardens, parks, forests, meadows, and urban areas across temperate regions",Black wings with red bands and white spots; adults feed on nectar and overripe fruit; migratory in some regions; belongs to the Nymphalidae family.
RED CRACKER,Hamadryas amphinome,2–3 weeks,Exotic,Tropical and subtropical forests in Central and South America,Brown and red wings with white spots; known for the cracking sound males make with their wings; adults feed on rotting fruit; belongs to the Nymphalidae family.
RED POSTMAN,Heliconius erato,2–4 weeks,Exotic,"Tropical forests, gardens, and open areas in Central and South America",Black wings with bright red bands; adults feed on nectar and pollen; participates in Müllerian mimicry with other Heliconius species; belongs to the Nymphalidae family.
RED SPOTTED PURPLE,Limenitis arthemis astyanax,2–3 weeks,Not Exotic (native to North America),"Woodlands, forest edges, and gardens across eastern North America","Iridescent blue-black wings with red-orange spots; adults feed on nectar, tree sap, and rotting fruit; caterpillars feed on wild cherry and other trees; belongs to the Nymphalidae family."
ROSY MAPLE MOTH,Dryocampa rubicunda,2–3 weeks,Not Exotic (native to North America),Deciduous forests and woodlands across eastern North America,Pink and yellow wings; adults do not feed; caterpillars feed on maple trees; belongs to the Saturniidae family.
SCARCE SWALLOW,Iphiclides podalirius,3–4 weeks,"Not Exotic (native to Europe, North Africa, and parts of Asia)","Open woodlands, orchards, and gardens in temperate regions of Europe and western Asia",Cream-colored wings with black tiger-like stripes and long tails on hindwings; adults feed on nectar; fast and agile flier; belongs to the Papilionidae family.
SILVER SPOT SKIPPER,Epargyreus clarus,2–3 weeks,Not Exotic (native to North America),"Open woodlands, gardens, fields, and roadsides across North America",Brown wings with distinctive silver spots on the underside; adults feed on nectar; larvae feed on legume plants; belongs to the Hesperiidae family.
SIXSPOT BURNET MOTH,Zygaena filipendulae,2–3 weeks,Not Exotic (common in Europe),"Grasslands, meadows, and open areas across Europe",Metallic blue-green wings with six red spots; toxic to predators; adults feed on nectar; belongs to the Zygaenidae family.
SLEEPY ORANGE,Abaeis nicippe,2–3 weeks,Not Exotic (native to North America),"Open fields, meadows, and gardens across North America",Bright orange wings with black borders; adults feed on nectar; larvae feed on legume plants; belongs to the Pieridae family.
SOOTYWING,Pholisora catullus,2–3 weeks,Not Exotic (native to North America),"Open fields, meadows, roadsides, and gardens across North America",Dark brown to black wings with small white spots; adults feed on nectar; larvae feed on mallow and related plants; belongs to the Hesperiidae family.
SOUTHERN DOGFACE,Zerene cesonia,2–3 weeks,Not Exotic (native to North and Central America),"Open fields, meadows, roadsides, and gardens in southern United States and Central America",Yellow wings with black “dogface” pattern on the forewings; adults feed on nectar; larvae feed on legume plants; belongs to the Pieridae family.
STRAITED QUEEN,Anetia pantheratus,2–3 weeks,Exotic,Tropical forests and open areas in Central and South America,Brown wings with creamy white stripes; adults feed on nectar; larvae feed on dogbane and related plants; belongs to the Nymphalidae family.
TROPICAL LEAFWING,Anaea aidea,2–3 weeks,Exotic,"Tropical forests, woodland edges, and gardens in Central and South America",Brown wings with leaf-like underside; adults feed on rotting fruit and tree sap; larvae feed on Croton species; belongs to the Nymphalidae family.
TWO BARRED FLASHER,Astraptes fulgerator,2–3 weeks,Exotic,Tropical forests and edges in Central and South America,Dark brown wings with two distinct white bars; adults feed on nectar; larvae feed on legume plants; belongs to the Hesperiidae family.
ULYSES,Papilio ulysses,3–4 weeks,Exotic,"Rainforests, gardens, and woodland edges in northeastern Australia, Papua New Guinea, and surrounding islands",Iridescent bright blue wings with black edges; adults feed on nectar; strong flier; belongs to the Papilionidae family
VICEROY,Limenitis archippus,2–3 weeks,Not Exotic (native to North America),"Wetlands, fields, meadows, and forest edges across North America","Orange and black wings resembling the Monarch; adults feed on nectar and tree sap; larvae feed on willows, poplars, and cottonwoods; belongs to the Nymphalidae family."
WHITE LINED SPHINX MOTH,Hyles lineata,3–4 weeks,Not Exotic (native to North America),"Deserts, gardens, fields, and open areas across North America",Gray-brown wings with white stripes and pink hindwings; adults feed on nectar while hovering like a hummingbird; caterpillars feed on a wide variety of plants; belongs to the Sphingidae family.
WOOD SATYR,Megisto cymela,2–3 weeks,Not Exotic (native to North America),"Forests, woodland edges, and shaded meadows across eastern North America",Brown wings with small eyespots; adults feed on nectar and sap; larvae feed on grasses; belongs to the Nymphalidae family.
YELLOW SWALLOW TAIL,Papilio machaon,3–4 weeks,"Not Exotic (native to Europe, Asia, and North America)","Meadows, gardens, fields, and open areas across temperate regions","Yellow wings with black tiger-like stripes and long tails on hindwings; adults feed on nectar; caterpillars feed on parsley, carrot, and related plants; belongs to the Papilionidae family."
ZEBRA LONG WING,Heliconius charithonia,2–4 weeks,Exotic,"Tropical and subtropical forests, gardens, and edges in Central and South America, and southern United States",Black wings with long white stripes; adults feed on nectar and pollen; participates in Müllerian mimicry; caterpillars feed on passionflower vines; belongs to the Nymphalidae family.
